oo	o͘
óo	ó͘
òo	ò͘
ôo	ô͘
ǒo	ǒ͘
ōo	ō͘
o̍o	o̍͘
o̍oh	o̍͘h
Oo	O͘
Óo	Ó͘
Òo	Ò͘
Ôo	Ô͘
Ǒo	Ǒ͘
Ōo	Ō͘
O̍o	O̍͘
ts	ch
Ts	Ch
nn	ⁿ
Nn	ᴺ
NN	ᴺ
ing	eng
íng	éng
ìng	èng
ik	ek
îng	êng
ǐng	ěng
īng	ēng
i̍k	e̍k
uí	úi
uì	ùi
uî	ûi
uǐ	ǔi
uī	ūi
ui̍	u̍i
ua	oa
uá	óa
uà	òa
uâ	ôa
uǎ	ǒa
ua̍	oa̍
uánn	óaⁿ
uànn	òaⁿ
uânn	ôaⁿ
uǎnn	ǒaⁿ
ua̍nn	oa̍ⁿ
uán	oán
uàn	oàn
uân	oân
uǎn	oǎn
uān	oān
ua̍t	oa̍t
uái	oái
uài	oài
uâi	oâi
uǎi	oǎi
uāi	oāi
ua̍ih	oa̍ih
ue	oe
ué	óe
uè	òe
uê	ôe
uě	ǒe
uē	ōe
ue̍h	o̍eh
ee	ɛ
ée	ɛ́
èe	ɛ̀
êe	ɛ̂
ěe	ɛ̌
ēe	ɛ̄
e̍e	ɛ̍
ir	ü
ír	ǘ
ìr	ǜ
îr	ü̂
ǐr	ǚ
īr	ǖ
i̍r	ü̍
er	ö
ér	ö́
èr	ö̀
êr	ö̂
ěr	ö̌
ēr	ȫ
e̍r	ö̍
